frame_idx,timestamp,cx,cy,area,command
340,1764914983.8237357,194,247,31722,TURN_RIGHT
341,1764914983.8296382,187,248,31604,FORWARD
342,1764914983.8365145,182,251,31485,FORWARD
343,1764914983.8426392,179,254,31503,FORWARD
344,1764914983.848656,176,256,31346,FORWARD
345,1764914983.8551924,174,258,31235,FORWARD
346,1764914983.8609982,173,259,31278,FORWARD
347,1764914983.8670008,173,259,31257,FORWARD
348,1764914983.8736188,173,260,31229,FORWARD
349,1764914983.8795667,173,260,31236,FORWARD
350,1764914983.8870218,173,260,31248,FORWARD
351,1764914983.8930311,172,261,31341,FORWARD
352,1764914983.8991613,171,261,31429,FORWARD
353,1764914983.9058125,170,261,31530,FORWARD
354,1764914983.91122,168,262,31597,FORWARD
355,1764914983.9172008,167,263,31495,FORWARD
356,1764914983.9240623,167,263,31412,FORWARD
357,1764914983.929635,166,264,31392,FORWARD
358,1764914983.9357495,166,264,31411,FORWARD
359,1764914983.9422698,166,265,31466,FORWARD
360,1764914983.9476957,165,265,31456,FORWARD
361,1764914983.9540086,164,266,31388,FORWARD
362,1764914983.9594953,164,267,31363,FORWARD
363,1764914983.9651303,164,267,31329,FORWARD
364,1764914983.9713097,164,268,31362,FORWARD
365,1764914983.9771059,164,268,31458,FORWARD
366,1764914983.982849,165,268,31610,FORWARD
367,1764914983.9891636,166,268,31868,FORWARD
368,1764914983.9950795,167,268,32078,FORWARD
369,1764914984.0006542,167,268,32292,FORWARD
370,1764914984.0070786,168,268,32392,FORWARD
