frame_idx,timestamp,cx,cy,area,command
264,1764915893.347216,174,290,45123,FORWARD
265,1764915893.3537273,174,290,45123,FORWARD
266,1764915893.3591735,174,290,45123,FORWARD
267,1764915893.3647547,174,290,45123,FORWARD
268,1764915893.370205,174,290,45123,FORWARD
269,1764915893.3757381,174,290,45123,FORWARD
270,1764915893.3817065,174,290,45123,FORWARD
271,1764915893.388027,174,290,45123,FORWARD
272,1764915893.3931618,174,290,45123,FORWARD
273,1764915893.3995652,174,290,45123,FORWARD
274,1764915893.4055254,174,290,45123,FORWARD
275,1764915893.4102602,174,290,45123,FORWARD
276,1764915893.4158545,174,290,45123,FORWARD
277,1764915893.42231,174,290,45123,FORWARD
278,1764915893.427519,174,290,45123,FORWARD
279,1764915893.433895,174,290,45123,FORWARD
280,1764915893.439126,174,290,45123,FORWARD
281,1764915893.444279,174,290,45123,FORWARD
282,1764915893.450717,174,290,45123,FORWARD
283,1764915893.4560075,174,290,45123,FORWARD
284,1764915893.460988,174,290,45123,FORWARD
285,1764915893.4666,174,290,45123,FORWARD
286,1764915893.4721487,174,290,45123,FORWARD
287,1764915893.4771621,174,290,45123,FORWARD
288,1764915893.4831305,174,290,45123,FORWARD
289,1764915893.4889107,174,290,45123,FORWARD
290,1764915893.49425,174,290,45123,FORWARD
291,1764915893.5000749,174,290,45123,FORWARD
292,1764915893.5062876,174,290,45123,FORWARD
293,1764915893.5116374,174,290,45123,FORWARD
294,1764915893.5174208,174,290,45123,FORWARD
295,1764915893.522117,174,290,45123,FORWARD
296,1764915893.527455,174,290,45123,FORWARD
297,1764915893.5337076,174,290,45123,FORWARD
298,1764915893.5390177,174,290,45123,FORWARD
299,1764915893.5446517,174,290,45123,FORWARD
300,1764915893.55029,174,290,45123,FORWARD
301,1764915893.5552995,174,290,45123,FORWARD
302,1764915893.560142,174,290,45123,FORWARD
303,1764915893.566439,174,290,45123,FORWARD
304,1764915893.5723534,174,290,45123,FORWARD
305,1764915893.577731,174,290,45123,FORWARD
306,1764915893.5836737,174,290,45123,FORWARD
307,1764915893.5888753,174,290,45123,FORWARD
308,1764915893.5946531,174,290,45123,FORWARD
309,1764915893.6011229,174,290,45123,FORWARD
310,1764915893.606689,174,290,45123,FORWARD
311,1764915893.6121857,174,290,45123,FORWARD
312,1764915893.6187508,174,290,45123,FORWARD
313,1764915893.6240025,174,290,45123,FORWARD
314,1764915893.629451,174,290,45123,FORWARD
315,1764915893.6357036,174,290,45123,FORWARD
316,1764915893.641116,174,290,45123,FORWARD
317,1764915893.6468387,174,290,45123,FORWARD
318,1764915893.6537797,174,290,45123,FORWARD
319,1764915893.6589813,174,290,45123,FORWARD
320,1764915893.6644351,174,290,45123,FORWARD
321,1764915893.670323,174,290,45123,FORWARD
322,1764915893.6756837,174,290,45123,FORWARD
323,1764915893.6811051,174,290,45123,FORWARD
324,1764915893.6871736,174,290,45123,FORWARD
325,1764915893.6929443,174,290,45123,FORWARD
326,1764915893.6989932,174,290,45123,FORWARD
327,1764915893.7055392,174,290,45123,FORWARD
328,1764915893.7108903,174,290,45123,FORWARD
329,1764915893.7174428,174,290,45123,FORWARD
330,1764915893.7228105,174,290,45123,FORWARD
331,1764915893.727737,174,290,45123,FORWARD
332,1764915893.7334096,174,290,45123,FORWARD
333,1764915893.7401986,174,290,45123,FORWARD
334,1764915893.746036,174,290,45123,FORWARD
335,1764915893.7519245,174,290,45123,FORWARD
336,1764915893.7572453,174,290,45123,FORWARD
337,1764915893.7630227,174,290,45123,FORWARD
338,1764915893.7694845,174,290,45123,FORWARD
339,1764915893.7754245,174,290,45123,FORWARD
340,1764915893.7816515,174,290,45123,FORWARD
341,1764915893.7876544,174,290,45123,FORWARD
342,1764915893.7930708,174,290,45123,FORWARD
343,1764915893.798531,174,290,45123,FORWARD
344,1764915893.8044198,174,290,45123,FORWARD
345,1764915893.809733,174,290,45123,FORWARD
346,1764915893.8149137,174,290,45123,FORWARD
347,1764915893.8205345,174,290,45123,FORWARD
348,1764915893.8258421,174,290,45123,FORWARD
349,1764915893.8315375,174,290,45123,FORWARD
350,1764915893.8378644,174,290,45123,FORWARD
351,1764915893.842725,174,290,45123,FORWARD
352,1764915893.8481941,174,290,45123,FORWARD
353,1764915893.8538654,174,290,45123,FORWARD
354,1764915893.8594015,174,290,45123,FORWARD
355,1764915893.864556,174,290,45123,FORWARD
356,1764915893.8710873,174,290,45123,FORWARD
357,1764915893.8772702,174,290,45123,FORWARD
358,1764915893.8824198,174,290,45123,FORWARD
359,1764915893.889275,174,290,45123,FORWARD
360,1764915893.8945322,174,290,45123,FORWARD
361,1764915893.9019468,174,290,45123,FORWARD
362,1764915893.9085927,174,290,45123,FORWARD
363,1764915893.914592,174,290,45123,FORWARD
364,1764915893.9212103,174,290,45123,FORWARD
365,1764915893.9268346,174,290,45123,FORWARD
366,1764915893.9325187,174,290,45123,FORWARD
367,1764915893.9400065,174,290,45123,FORWARD
368,1764915893.9450457,174,290,45123,FORWARD
369,1764915893.9517455,174,290,45123,FORWARD
370,1764915893.9583416,174,290,45123,FORWARD
371,1764915893.963595,174,290,45123,FORWARD
372,1764915893.9705064,174,290,45123,FORWARD
373,1764915893.9763787,174,290,45123,FORWARD
374,1764915893.9821205,174,290,45123,FORWARD
375,1764915893.9898577,174,290,45123,FORWARD
376,1764915893.9948204,174,290,45123,FORWARD
377,1764915894.001604,174,290,45123,FORWARD
378,1764915894.0100045,174,290,45123,FORWARD
379,1764915894.0158248,174,290,45123,FORWARD
380,1764915894.0237052,174,290,45123,FORWARD
381,1764915894.02963,174,290,45123,FORWARD
382,1764915894.0365255,174,290,45123,FORWARD
383,1764915894.0427864,174,290,45123,FORWARD
384,1764915894.0476615,174,290,45123,FORWARD
385,1764915894.0546427,174,290,45123,FORWARD
386,1764915894.0600994,174,290,45123,FORWARD
387,1764915894.0655744,174,290,45123,FORWARD
388,1764915894.071984,174,290,45123,FORWARD
389,1764915894.0767555,174,290,45123,FORWARD
390,1764915894.082038,174,290,45123,FORWARD
391,1764915894.087337,174,290,45123,FORWARD
392,1764915894.09257,174,290,45123,FORWARD
393,1764915894.0975835,174,290,45123,FORWARD
394,1764915894.1033392,174,290,45123,FORWARD
395,1764915894.10821,174,290,45123,FORWARD
396,1764915894.1136184,174,290,45123,FORWARD
397,1764915894.1205025,174,290,45123,FORWARD
398,1764915894.1257246,174,290,45123,FORWARD
399,1764915894.130786,174,290,45123,FORWARD
400,1764915894.13719,174,290,45123,FORWARD
401,1764915894.142543,174,290,45123,FORWARD
402,1764915894.1476092,174,290,45123,FORWARD
403,1764915894.1541443,174,290,45123,FORWARD
404,1764915894.1593263,174,290,45123,FORWARD
405,1764915894.1650465,174,290,45123,FORWARD
406,1764915894.1709657,174,290,45123,FORWARD
407,1764915894.1759877,174,290,45123,FORWARD
408,1764915894.181416,174,290,45123,FORWARD
409,1764915894.1882908,174,290,45123,FORWARD
410,1764915894.193916,174,290,45123,FORWARD
411,1764915894.1995776,174,290,45123,FORWARD
412,1764915894.2050793,174,290,45123,FORWARD
413,1764915894.2102444,174,290,45123,FORWARD
414,1764915894.2154243,174,290,45123,FORWARD
415,1764915894.221836,174,290,45123,FORWARD
416,1764915894.2270055,174,290,45123,FORWARD
417,1764915894.232301,174,290,45123,FORWARD
418,1764915894.2375393,174,290,45123,FORWARD
419,1764915894.2423723,174,290,45123,FORWARD
420,1764915894.2478726,174,290,45123,FORWARD
421,1764915894.2550232,174,290,45123,FORWARD
422,1764915894.2607799,174,290,45123,FORWARD
423,1764915894.2660751,174,290,45123,FORWARD
424,1764915894.2716386,174,290,45123,FORWARD
425,1764915894.2766023,174,290,45123,FORWARD
426,1764915894.2819152,174,290,45123,FORWARD
427,1764915894.2881224,174,290,45123,FORWARD
428,1764915894.2937381,174,290,45123,FORWARD
429,1764915894.299257,174,290,45123,FORWARD
430,1764915894.3053975,174,290,45123,FORWARD
431,1764915894.310629,174,290,45123,FORWARD
432,1764915894.3157604,174,290,45123,FORWARD
433,1764915894.3231204,174,290,45123,FORWARD
434,1764915894.3285954,174,290,45123,FORWARD
435,1764915894.3335855,174,290,45123,FORWARD
436,1764915894.3420928,174,290,45123,FORWARD
437,1764915894.3488455,174,290,45123,FORWARD
438,1764915894.357096,174,290,45123,FORWARD
439,1764915894.3631117,174,290,45123,FORWARD
440,1764915894.368106,174,290,45123,FORWARD
441,1764915894.3738956,174,290,45123,FORWARD
442,1764915894.3788712,174,290,45123,FORWARD
443,1764915894.3851485,174,290,45123,FORWARD
444,1764915894.3911808,174,290,45123,FORWARD
445,1764915894.397567,174,290,45123,FORWARD
446,1764915894.4043577,174,290,45123,FORWARD
447,1764915894.4100287,174,290,45123,FORWARD
448,1764915894.4158502,174,290,45123,FORWARD
449,1764915894.4224634,174,290,45123,FORWARD
450,1764915894.4277112,174,290,45123,FORWARD
451,1764915894.432809,174,290,45123,FORWARD
452,1764915894.4385552,174,290,45123,FORWARD
453,1764915894.4437163,174,290,45123,FORWARD
454,1764915894.449616,174,290,45123,FORWARD
455,1764915894.45582,174,290,45123,FORWARD
456,1764915894.4611962,174,290,45123,FORWARD
457,1764915894.4674146,174,290,45123,FORWARD
458,1764915894.473713,174,290,45123,FORWARD
459,1764915894.4792795,174,290,45123,FORWARD
460,1764915894.4846723,174,290,45123,FORWARD
461,1764915894.4910893,174,290,45123,FORWARD
462,1764915894.4965599,174,290,45123,FORWARD
463,1764915894.5026982,174,290,45123,FORWARD
464,1764915894.5097432,174,290,45123,FORWARD
465,1764915894.5149562,174,290,45123,FORWARD
466,1764915894.5220418,174,290,45123,FORWARD
467,1764915894.528223,174,290,45123,FORWARD
468,1764915894.5336459,174,290,45123,FORWARD
469,1764915894.540609,174,290,45123,FORWARD
470,1764915894.5462456,174,290,45123,FORWARD
471,1764915894.5527744,174,290,45123,FORWARD
472,1764915894.5600228,174,290,45123,FORWARD
473,1764915894.5650523,174,290,45123,FORWARD
474,1764915894.5716083,174,290,45123,FORWARD
475,1764915894.5788555,174,290,45123,FORWARD
476,1764915894.5845308,174,290,45123,FORWARD
477,1764915894.5915337,174,290,45123,FORWARD
478,1764915894.5967853,174,290,45123,FORWARD
479,1764915894.601888,174,290,45123,FORWARD
480,1764915894.6088552,174,290,45123,FORWARD
481,1764915894.614638,174,290,45123,FORWARD
482,1764915894.6206374,174,290,45123,FORWARD
483,1764915894.6278396,174,290,45123,FORWARD
484,1764915894.6338887,174,290,45123,FORWARD
485,1764915894.6404746,174,290,45123,FORWARD
486,1764915894.6473036,174,290,45123,FORWARD
487,1764915894.6521657,174,290,45123,FORWARD
488,1764915894.6581185,174,290,45123,FORWARD
489,1764915894.66342,174,290,45123,FORWARD
490,1764915894.6687417,174,290,45123,FORWARD
491,1764915894.6745396,174,290,45123,FORWARD
492,1764915894.679761,174,290,45123,FORWARD
493,1764915894.6855266,174,290,45123,FORWARD
494,1764915894.691352,174,290,45123,FORWARD
495,1764915894.6971045,174,290,45123,FORWARD
496,1764915894.7022536,174,290,45123,FORWARD
497,1764915894.707777,174,290,45123,FORWARD
498,1764915894.7134664,174,290,45123,FORWARD
499,1764915894.7186644,174,290,45123,FORWARD
500,1764915894.724634,174,290,45123,FORWARD
501,1764915894.7301939,174,290,45123,FORWARD
502,1764915894.7357302,174,290,45123,FORWARD
503,1764915894.7412715,174,290,45123,FORWARD
504,1764915894.7466252,174,290,45123,FORWARD
505,1764915894.7527964,174,290,45123,FORWARD
506,1764915894.7589867,174,290,45123,FORWARD
507,1764915894.7646754,174,290,45123,FORWARD
508,1764915894.770817,174,290,45123,FORWARD
509,1764915894.7770958,174,290,45123,FORWARD
510,1764915894.782865,174,290,45123,FORWARD
511,1764915894.7896328,174,290,45123,FORWARD
512,1764915894.797238,174,290,45123,FORWARD
513,1764915894.8063855,174,290,45123,FORWARD
514,1764915894.8140376,174,290,45123,FORWARD
515,1764915894.820069,174,290,45123,FORWARD
516,1764915894.8260403,174,290,45123,FORWARD
517,1764915894.8318753,174,290,45123,FORWARD
518,1764915894.8375158,174,290,45123,FORWARD
519,1764915894.8432918,174,290,45123,FORWARD
520,1764915894.8483303,174,290,45123,FORWARD
521,1764915894.8545818,174,290,45123,FORWARD
522,1764915894.8606923,174,290,45123,FORWARD
523,1764915894.8662877,174,290,45123,FORWARD
524,1764915894.8721032,174,290,45123,FORWARD
525,1764915894.8785062,174,290,45123,FORWARD
526,1764915894.8842022,174,290,45123,FORWARD
527,1764915894.8898213,174,290,45123,FORWARD
528,1764915894.8964224,174,290,45123,FORWARD
529,1764915894.9032533,174,290,45123,FORWARD
530,1764915894.9094818,174,290,45123,FORWARD
531,1764915894.915617,174,290,45123,FORWARD
532,1764915894.9218535,174,290,45123,FORWARD
533,1764915894.9284086,174,290,45123,FORWARD
534,1764915894.9369771,174,290,45123,FORWARD
535,1764915894.94574,174,290,45123,FORWARD
536,1764915894.9535856,174,290,45123,FORWARD
537,1764915894.9626288,174,290,45123,FORWARD
538,1764915894.9690888,174,290,45123,FORWARD
539,1764915894.9750733,174,290,45123,FORWARD
540,1764915894.9806972,174,290,45123,FORWARD
541,1764915894.9870315,174,290,45123,FORWARD
542,1764915894.993003,174,290,45123,FORWARD
543,1764915894.9995952,174,290,45123,FORWARD
544,1764915895.005581,174,290,45123,FORWARD
545,1764915895.0127857,174,290,45123,FORWARD
546,1764915895.0199227,174,290,45123,FORWARD
547,1764915895.026003,174,290,45123,FORWARD
548,1764915895.0323336,174,290,45123,FORWARD
549,1764915895.0380807,174,290,45123,FORWARD
550,1764915895.045645,174,290,45123,FORWARD
551,1764915895.0517387,174,290,45123,FORWARD
552,1764915895.0578287,174,290,45123,FORWARD
553,1764915895.0645294,174,290,45123,FORWARD
554,1764915895.070038,174,290,45123,FORWARD
555,1764915895.0757358,174,290,45123,FORWARD
556,1764915895.080923,174,290,45123,FORWARD
